cliente_id;nome;email;idade;cidade;UF;sexo;data_cadastro
1;Miguel Porto;eloah69@nascimento.org;51;Sao Bernardo do Campo;SP;Feminino;24/09/2020
2;Gustavo Henrique Azevedo;ubarros@gmail.com;62;Londrina;PR;Feminino;28/05/2024
3;Julia Correia;ana-lauramoraes@uol.com.br;65;Sao Luis;MA;Feminino;08/01/2020
4;Pietra Sales;usilveira@ig.com.br;45;Recife;PE;Masculino;22/05/2021
5;Guilherme Barros;davi-luizfarias@barros.net;24;Cuiaba;MT;Feminino;20/04/2021
6;Sr. Guilherme Rezende;cavalcantieloah@barbosa.net;57;Sao Bernardo do Campo;SP;Masculino;13/08/2023
7;Dra. Catarina da Rosa;pTaboao@costela.com;24;Teresina;PI;Masculino;12/06/2020
8;Luiz Fernando Carvalho;joao-guilhermemoraes@hotmail.com;55;Florianopolis;SC;Feminino;29/04/2021
9;Vitor da Cruz;fernandorezende@yahoo.com.br;51;Belem;PA;Feminino;08/06/2024
10;Vitor da Cruz;fernandorezende@yahoo.com.br;51;Belem;PA;Masculino;31/12/2022
11;Valentina Duarte;fmendes@pereira.net;52;Vitoria;ES;Masculino;20/07/2021
12;Rafaela Peixoto;cunhasophie@hotmail.com;28;Jundiai;SP;Masculino;23/06/2022
13;Bianca Aragão;agathamendes@barros.com;35;Vitoria;ES;Feminino;12/07/2021
14;Sofia Rocha;icardoso@goncalves.net;38;Belo Horizonte;MG;Feminino;25/08/2020
15;Danilo Dias;araujolara@da.br;34;Aracaju;SE;Feminino;01/02/2023
16;Pietro Oliveira;raquel90@das.br;19;Rio de Janeiro;RJ;Feminino;18/05/2023
17;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Vitoria;ES;Feminino;07/07/2021
18;Valentina Duarte;fmendes@pereira.net;52;Blumenau;SC;Masculino;07/04/2022
19;Ana Vitória Peixoto;henriquecaldeira@das.org;32;Santo Andre;SP;Feminino;12/04/2021
20;Gabrielly Cunha;davi-luccadas-neves@bol.com.br;42;Rio de Janeiro;RJ;Masculino;17/01/2024
21;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Cuiaba;MT;Masculino;15/07/2023
22;Sra. Raquel Monteiro;joao-guilherme52@hotmail.com;35;Niteroi;RJ;Masculino;20/01/2021
23;Alexandre Silva;juanazevedo@bol.com.br;46;Goiania;GO;Feminino;13/02/2022
24;Sr. Guilherme Rezende;cavalcantieloah@barbosa.net;57;Aracaju;SE;Feminino;27/04/2022
25;Vicente Duarte;stephanyda-costa@carvalho.com;66;Palmas;TO;Feminino;21/01/2021
26;Benjamin Cardoso;qda-rocha@gmail.com;62;Ribeirao Preto;SP;Masculino;26/05/2022
27;Juliana Porto;da-conceicaopietra@uol.com.br;29;Uberlandia;MG;Masculino;15/09/2020
28;Danilo Dias;araujolara@da.br;34;Maceio;AL;Masculino;09/10/2020
29;Dra. Yasmin Taboao;zmendes@souza.org;65;Sao Luis;MA;Masculino;07/07/2024
30;Cecília Fogaça;grezende@duarte.com;21;Belo Horizonte;MG;Masculino;09/02/2020
31;Luigi Lopes;santosalice@dias.br;28;Sao Jose dos Campos;SP;Masculino;30/04/2021
32;Mariana Costela;fda-paz@ig.com.br;41;Curitiba;PR;Feminino;17/07/2022
33;Stephany Souza;vbarros@viana.br;70;Cuiaba;MT;Feminino;07/08/2020
34;Calebe Nunes;silvadavi-lucas@bol.com.br;70;Porto Alegre;RS;Feminino;26/02/2023
35;Alexandre Silva;juanazevedo@bol.com.br;46;Sao Bernardo do Campo;SP;Feminino;11/10/2022
36;Isabelly Santos;ferreirayago@yahoo.com.br;48;Joao Pessoa;PB;Masculino;20/10/2022
37;Julia Correia;ana-lauramoraes@uol.com.br;65;Brasilia;DF;Masculino;23/03/2024
38;Luna Gomes;fsantos@bol.com.br;62;Palmas;TO;Feminino;04/09/2021
39;Luna Gomes;fsantos@bol.com.br;62;Guarulhos;SP;Masculino;16/07/2022
40;Ryan Pires;faraujo@castro.br;38;Porto Alegre;RS;Feminino;18/11/2021
41;Luna Gomes;fsantos@bol.com.br;62;Santos;SP;Feminino;30/06/2024
42;Ana Julia Alves;omendes@porto.br;41;Rio de Janeiro;RJ;Feminino;04/09/2021
43;Paulo Mendes;da-conceicaomaite@uol.com.br;27;Campo Grande;MS;Masculino;16/09/2020
44;Sra. Raquel Monteiro;joao-guilherme52@hotmail.com;35;Uberlandia;MG;Feminino;16/09/2022
45;Sofia Rocha;icardoso@goncalves.net;38;Curitiba;PR;Feminino;23/08/2022
46;Ana Julia Alves;omendes@porto.br;41;Recife;PE;Feminino;31/12/2020
47;Maria Alice Rocha;gustavo79@bol.com.br;59;Sorocaba;SP;Masculino;16/11/2024
48;Sr. Guilherme Rezende;cavalcantieloah@barbosa.net;57;Guarulhos;SP;Masculino;15/12/2024
49;Thomas Barbosa;qpires@uol.com.br;26;Natal;RN;Feminino;27/06/2021
50;Bernardo Farias;zpires@da.com;49;Jundiai;SP;Masculino;10/10/2021
51;Rafaela Melo;mpires@martins.org;50;Brasilia;DF;Masculino;27/03/2024
52;Srta. Eloah Melo;raragao@da.net;26;Rio de Janeiro;RJ;Masculino;24/03/2022
53;Dra. Yasmin Taboao;zmendes@souza.org;65;Fortaleza;CE;Masculino;05/11/2022
54;Alexandre Silva;juanazevedo@bol.com.br;46;Brasilia;DF;Masculino;26/02/2023
55;Bernardo da Luz;laurafreitas@da.com;43;Londrina;PR;Masculino;28/07/2021
56;Marina Cunha;danilonogueira@fogaca.com;65;Joao Pessoa;PB;Masculino;06/02/2023
57;Eduardo Campos;joao-gabriel32@ferreira.net;40;Santos;SP;Masculino;09/10/2022
58;Pietro Oliveira;raquel90@das.br;19;Osasco;SP;Masculino;05/04/2024
59;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Manaus;AM;Masculino;31/10/2021
60;Gabriel Lopes;nathan70@das.net;54;Jundiai;SP;Feminino;25/09/2020
61;Calebe Nunes;silvadavi-lucas@bol.com.br;70;Guarulhos;SP;Feminino;31/03/2023
62;Alexandre Silva;juanazevedo@bol.com.br;46;Joinville;SC;Masculino;07/07/2023
63;Srta. Rebeca Nunes;correiabreno@porto.br;28;Sao Luis;MA;Feminino;12/07/2022
64;Leonardo Pereira;mouranathan@mendes.br;36;Recife;PE;Feminino;30/01/2023
65;Caio Rocha;rporto@uol.com.br;40;Guarulhos;SP;Masculino;09/03/2024
66;Ryan Pires;faraujo@castro.br;38;Florianopolis;SC;Masculino;24/10/2024
67;Rafael Rodrigues;icunha@da.com;21;Cuiaba;MT;Masculino;13/05/2024
68;Júlia Vieira;carlos-eduardocunha@santos.com;23;Maceio;AL;Feminino;03/09/2020
69;Maria Duarte;miguelsilveira@uol.com.br;25;Joao Pessoa;PB;Feminino;21/07/2024
70;Lorenzo da Cruz;da-cunhamaria-julia@hotmail.com;59;Vitoria;ES;Masculino;23/12/2024
71;Maria Sophia Cunha;nascimentoalexia@monteiro.br;57;Santos;SP;Masculino;09/04/2024
72;Srta. Eloah Melo;raragao@da.net;26;Palmas;TO;Masculino;10/05/2020
73;Vitor Gabriel Mendes;ana-julia13@hotmail.com;47;Londrina;PR;Feminino;18/12/2020
74;Amanda Alves;portoclarice@gmail.com;36;Sao Luis;MA;Feminino;14/07/2020
75;Gabriela da Paz;felipe98@aragao.net;33;Sao Paulo;SP;Feminino;21/12/2024
76;Srta. Eloah Melo;raragao@da.net;26;Palmas;TO;Feminino;18/07/2022
77;Gabriela da Paz;felipe98@aragao.net;33;Curitiba;PR;Masculino;16/08/2024
78;Gustavo Henrique Azevedo;ubarros@gmail.com;62;Porto Alegre;RS;Masculino;06/11/2023
79;Julia Nunes;freitasalice@gmail.com;68;Vitoria;ES;Masculino;18/10/2022
80;Rafaela Melo;mpires@martins.org;50;Sao Paulo;SP;Masculino;06/10/2021
81;Eduardo Campos;joao-gabriel32@ferreira.net;40;Recife;PE;Feminino;14/08/2020
82;Leonardo Pereira;mouranathan@mendes.br;36;Vitoria;ES;Feminino;01/12/2021
83;Lorenzo Mendes;matheus98@uol.com.br;62;Belem;PA;Masculino;08/02/2024
84;João Felipe Moura;da-conceicaomaria@nogueira.com;43;Natal;RN;Masculino;09/02/2024
85;Luna Gomes;fsantos@bol.com.br;62;Recife;PE;Feminino;21/09/2020
86;Rafaela Peixoto;cunhasophie@hotmail.com;28;Sorocaba;SP;Masculino;27/10/2023
87;Bernardo da Luz;laurafreitas@da.com;43;Sorocaba;SP;Feminino;18/02/2024
88;Leandro Barbosa;sofia15@yahoo.com.br;55;Niteroi;RJ;Masculino;28/12/2023
89;Heloísa Oliveira;bruno03@gmail.com;19;Salvador;BA;Masculino;07/10/2021
90;Julia Correia;ana-lauramoraes@uol.com.br;65;Sao Bernardo do Campo;SP;Masculino;29/07/2020
91;Pietra Sales;usilveira@ig.com.br;45;Uberlandia;MG;Masculino;14/05/2024
92;Júlia Vieira;carlos-eduardocunha@santos.com;23;Curitiba;PR;Masculino;01/11/2023
93;Luiz Fernando Carvalho;joao-guilhermemoraes@hotmail.com;55;Porto Alegre;RS;Masculino;19/11/2023
94;Luna Gomes;fsantos@bol.com.br;62;Recife;PE;Masculino;13/01/2024
95;Dra. Ana Beatriz Freitas;heitor86@ig.com.br;23;Goiania;GO;Feminino;31/07/2022
96;Melissa Farias;vitor-hugo91@yahoo.com.br;50;Osasco;SP;Feminino;19/10/2023
